ID;Description
212;Un choc violent à l'arrière gauche a laissé des bosses, mais les jantes et les phares avant sont intacts.
213;Le toit est endommagé à l’avant après la chute d’un arbre. Le pare-brise est fissuré en deux endroits.
214;La portière avant gauche est enfoncée avec des rayures profondes près de la poignée. Le rétroviseur est cassé.
215;Ben, c’est un gros coup dans la portière avant, donc elle est bien enfoncée, bien abîmée, la peinture elle a bien souffert, faut vraiment la refaire. Y’a aussi un petit impact à l’arrière, côté droit, et le pare-chocs est légèrement fissuré, faut réparer tout ça.
216;Le pare-chocs avant est déformé au centre, et la plaque d'immatriculation est tordue. Le capot présente une bosse près du phare droit, et le radiateur est légèrement endommagé.
217;La voiture a été emboutie à l’arrière à un feu rouge. Pare-chocs arrière enfoncé, coffre difficile à fermer.
218;Choc sur le côté droit, la portière arrière est complètement déformée, le pare-chocs arrière est enfoncé avec de grandes fissures. L'aile arrière droite est rayée et l'optique arrière gauche est cassé. Le capot est légèrement bosselé.
219;La portière avant droite est légèrement rayée, mais après inspection, il semble que la rayure soit en réalité une petite déformation de la tôle.
220;Collision à l'arrière : le pare-chocs est fissuré, et les deux feux arrière sont brisés. La carrosserie est déformée près du coffre.
221;C’est un accident assez violent, quoi, là, les deux portières côté passager, elles sont, euh, bien enfoncées, et, je crois, qu'elles, euh, sont bloquées, genre on peut plus les ouvrir, donc c’est un peu galère pour ça, et puis, ben, les fenêtres, elles sont, euh, cassées aussi, donc... ouais.
222;Le véhicule a été heurté à l'avant gauche, causant une déformation de l'aile avant et du pare-chocs. La portière avant gauche est endommagée et la peinture est rayée. Le phare avant gauche est brisé et le rétroviseur gauche est cassé.
223;Accrochage avec un vélo. Rayures sur l’aile avant gauche et phare gauche endommagé.
224;Impact latéral côté droit. La portière avant droite est enfoncée en bas, et celle de l’arrière présente des rayures sur toute sa longueur. Les deux vitres côté droit sont intactes.
225;La voiture a été tapée à l’arrière droit, le coffre il ferme plus bien, il est déformé. Pare-chocs arrière défoncé et la peinture a sauté sur la moitié. Le phare arrière droit est cassé aussi.
226;Euh, la portière côté passager, ben, c’est pas super joli, hein, c’est genre une grosse rayure qui fait toute la longueur, c’est pas rien, et puis, le, euh, pare-chocs avant, il a aussi, ben, des impacts, ou des bosses, ça dépend de ce qu’on veut dire, mais c’est bien abimé.
227;Le toit est légèrement bosselé suite à un accident. La portière arrière gauche n'a aucun dommage.
228;Choc à l'arrière gauche du véhicule, le pare-chocs arrière est complètement détruit et la peinture est abîmée sur toute la surface. Le coffre est difficile à fermer et la serrure est endommagée. La portière arrière gauche présente une déformation majeure et des rayures profondes.
229;Alors, ouais, bon, l’arrière, là, c’est, euh, un peu la cata, quoi... le pare-chocs arrière, il est bien enfoncé, et puis le coffre, il, euh, il s’ouvre plus correctement, genre faut insister pour le fermer. Et, je crois qu’y a un truc avec le hayon aussi, mais j'suis pas sûr, faut regarder.
230;Le pare-chocs avant semble légèrement rayé, mais en y regardant de plus près, il est en fait fissuré sur un coin.
231;Un camion a percuté la portière avant gauche près du phare. Grosse bosse et peinture éraflée. La vitre est intacte.
232;Le pare-brise a été brisé après un accident. Le capot et les ailes avant sont intacts.
233;Le pare-brise est fissuré sur toute sa surface, mais après avoir examiné de plus près, je constate qu'il s'agit en fait d'une petite fissure juste en bas à gauche.
234;Collision arrière : le pare-chocs est fissuré au centre, et le coffre est légèrement enfoncé. La carrosserie présente des rayures.
235;Alors euh... la portière avant gauche, ben, elle a, euh, une grosse bosse, ouais, enfin une bosse assez profonde, et, euh, la peinture, elle est vraiment abimée, quoi, genre bien éraflée. Et, euh, je crois que la vitre, elle est, euh, cassée, ou presque... enfin faut vérifier, mais elle bouge un peu, c'est pas net.
236;Ah, c’est un accrochage avec un camion, donc la portière avant droite est complètement enfoncée, faut la changer. Puis le rétroviseur droit est cassé, faut aussi changer ça. Et puis, ouais, la peinture est bien bien rayée sur toute la partie avant droite, c’est plus qu’un simple accroc.
237;Un camion a percuté la portière avant gauche, causant une grosse bosse et une peinture éraflée. La vitre est intacte.
238;Un impact à l'arrière gauche a créé une déformation sur le pare-chocs. Le capot et les rétroviseurs ne sont pas affectés.
239;Choc frontal violent : le pare-chocs avant est plié, et les deux phares sont cassés. Le radiateur fuit légèrement.
240;Une collision à l'avant droit a causé une déformation du capot et des dommages sur l'aile. Le pare-chocs arrière est intact.
